bound,length,time(ms),swaps,jumps,partsSorted?
100.0, 998118.0, 224.4275, 1551761.0, 5.5851669E7, someSorted
1000.0, 10.0, 9.0E-4, 9.0, 45.0, someSorted
1000.0, 30.0, 0.0018, 26.0, 258.0, someSorted
1000.0, 50.0, 0.003001, 50.0, 523.0, someSorted
1000.0, 70.0, 0.0043, 72.0, 800.0, someSorted
1000.0, 90.0, 0.0058, 95.0, 1115.0, someSorted
1000.0, 110.0, 0.0074, 134.0, 1462.0, someSorted
1000.0, 330.0, 0.0248, 260.0, 5980.0, someSorted
1000.0, 550.0, 0.050199, 708.0, 11587.0, someSorted
1000.0, 770.0, 0.0717, 817.0, 16968.0, someSorted
1000.0, 990.0, 0.0908, 885.0, 22785.0, someSorted
1000.0, 1210.0, 0.118299, 1127.0, 29060.0, someSorted
1000.0, 3630.0, 0.399199, 3270.0, 105194.0, someSorted
1000.0, 6050.0, 0.7376, 7441.0, 187375.0, someSorted
1000.0, 8066.0, 1.0602, 7960.0, 265909.0, someSorted
1000.0, 10082.0, 1.371, 14282.0, 342429.0, someSorted
1000.0, 30246.0, 4.7845, 47706.0, 1208637.0, someSorted
1000.0, 50410.0, 7.918399, 69922.0, 2064733.0, someSorted
1000.0, 70574.0, 11.3974, 96891.0, 2961182.0, someSorted
1000.0, 90738.0, 15.542901, 115457.0, 3988679.0, someSorted
1000.0, 110902.0, 18.4781, 133164.0, 4875010.0, someSorted
1000.0, 332706.0, 64.7831, 369317.0, 1.6621075E7, someSorted
1000.0, 554510.0, 113.8402, 563555.0, 2.8810719E7, someSorted
1000.0, 776314.0, 168.6661, 995235.0, 4.2663898E7, someSorted
1000.0, 998118.0, 231.4512, 1438349.0, 5.5851669E7, someSorted
100000.0, 10.0, 9.0E-4, 6.0, 45.0, someSorted
100000.0, 30.0, 0.002, 36.0, 258.0, someSorted
100000.0, 50.0, 0.003301, 62.0, 523.0, someSorted
100000.0, 70.0, 0.0046, 85.0, 800.0, someSorted
100000.0, 90.0, 0.006001, 91.0, 1204.0, someSorted
100000.0, 110.0, 0.008401, 205.0, 1462.0, someSorted
100000.0, 330.0, 0.0261, 347.0, 5980.0, someSorted
100000.0, 550.0, 0.051, 788.0, 11587.0, someSorted
100000.0, 770.0, 0.0697, 832.0, 16968.0, someSorted
100000.0, 990.0, 0.095201, 1246.0, 22785.0, someSorted
100000.0, 1210.0, 0.1203, 1569.0, 29060.0, someSorted
100000.0, 3630.0, 0.436801, 5644.0, 105194.0, someSorted
100000.0, 6050.0, 0.805301, 8879.0, 199473.0, someSorted
100000.0, 8066.0, 1.0249, 9005.0, 265909.0, someSorted
100000.0, 10082.0, 1.3186, 10756.0, 342429.0, someSorted
100000.0, 30246.0, 4.4461, 31445.0, 1178392.0, someSorted
100000.0, 50410.0, 7.737901, 51442.0, 2064733.0, someSorted
100000.0, 70574.0, 12.454601, 101088.0, 3102328.0, someSorted
100000.0, 90738.0, 14.3437, 81948.0, 3897942.0, someSorted
100000.0, 110902.0, 18.8156, 120153.0, 4875010.0, someSorted
100000.0, 332706.0, 63.622999, 368614.0, 1.628837E7, someSorted
100000.0, 554510.0, 119.024099, 831822.0, 2.9365228E7, someSorted
100000.0, 776314.0, 180.7099, 1468260.0, 4.2663898E7, someSorted
100000.0, 998118.0, 221.4698, 1050677.0, 5.3855435E7, someSorted
1.0E7, 10.0, 7.99E-4, 10.0, 45.0, someSorted
1.0E7, 30.0, 0.001699, 21.0, 258.0, someSorted
1.0E7, 50.0, 0.002801, 49.0, 523.0, someSorted
1.0E7, 70.0, 0.0045, 89.0, 800.0, someSorted
1.0E7, 90.0, 0.0056, 92.0, 1115.0, someSorted
1.0E7, 110.0, 0.0077, 167.0, 1462.0, someSorted
1.0E7, 330.0, 0.026099, 378.0, 5980.0, someSorted
1.0E7, 550.0, 0.047399, 689.0, 11038.0, someSorted
1.0E7, 770.0, 0.073199, 1036.0, 16968.0, someSorted
1.0E7, 990.0, 0.090499, 933.0, 22785.0, someSorted
1.0E7, 1210.0, 0.1307, 2296.0, 29060.0, someSorted
1.0E7, 3630.0, 0.4066, 3824.0, 105194.0, someSorted
1.0E7, 6050.0, 0.7732, 8896.0, 193424.0, someSorted
1.0E7, 8066.0, 1.0683, 11841.0, 265909.0, someSorted
1.0E7, 10082.0, 1.338999, 13472.0, 342429.0, someSorted
1.0E7, 30246.0, 6.067399, 35092.0, 1178392.0, someSorted
1.0E7, 50410.0, 9.7813, 60167.0, 2115142.0, someSorted
1.0E7, 70574.0, 12.2968, 117379.0, 3102328.0, someSorted
1.0E7, 90738.0, 15.130801, 109214.0, 3988679.0, someSorted
1.0E7, 110902.0, 18.6595, 127786.0, 4875010.0, someSorted
1.0E7, 332706.0, 73.0382, 453764.0, 1.6621075E7, someSorted
1.0E7, 554510.0, 133.382499, 747433.0, 2.8810719E7, someSorted
1.0E7, 776314.0, 195.381799, 1235631.0, 4.2663898E7, someSorted
1.0E7, 998118.0, 251.0392, 1608626.0, 5.5851669E7, someSorted
5.0, 10.0, 5.0E-4, 0.0, 36.0, sorted
5.0, 30.0, 0.0022, 0.0, 229.0, sorted
5.0, 50.0, 0.0021, 0.0, 474.0, sorted
5.0, 70.0, 0.0027, 0.0, 731.0, sorted
5.0, 90.0, 0.0037, 0.0, 1026.0, sorted
5.0, 110.0, 0.0049, 0.0, 1353.0, sorted
5.0, 330.0, 0.024, 0.0, 5651.0, sorted
5.0, 550.0, 0.0364, 0.0, 10489.0, sorted
5.0, 770.0, 0.056101, 0.0, 16199.0, sorted
5.0, 990.0, 0.0754, 0.0, 21796.0, sorted
5.0, 1210.0, 0.096201, 0.0, 27851.0, sorted
5.0, 3630.0, 0.3517, 0.0, 101565.0, sorted
5.0, 6050.0, 0.628699, 0.0, 181326.0, sorted
5.0, 8066.0, 0.8938, 0.0, 257844.0, sorted
5.0, 10082.0, 1.1565, 0.0, 332348.0, sorted
5.0, 30246.0, 4.0121, 0.0, 1148147.0, sorted
5.0, 50410.0, 7.2937, 0.0, 2014324.0, sorted
5.0, 70574.0, 10.0915, 0.0, 2890609.0, sorted
5.0, 90738.0, 14.3187, 0.0, 3807205.0, sorted
5.0, 110902.0, 17.425101, 0.0, 4764109.0, sorted
5.0, 332706.0, 59.7956, 0.0, 1.5955665E7, sorted
5.0, 554510.0, 131.535099, 0.0, 2.825621E7, sorted
5.0, 776314.0, 161.266999, 0.0, 4.0334959E7, sorted
5.0, 998118.0, 197.6481, 0.0, 5.2857318E7, sorted
10.0, 10.0, 5.0E-4, 0.0, 36.0, sorted
10.0, 30.0, 0.001601, 0.0, 229.0, sorted
10.0, 50.0, 0.002099, 0.0, 474.0, sorted
10.0, 70.0, 0.003699, 0.0, 731.0, sorted
10.0, 90.0, 0.0038, 0.0, 1026.0, sorted
10.0, 110.0, 0.0064, 0.0, 1353.0, sorted
10.0, 330.0, 0.019701, 0.0, 5651.0, sorted
10.0, 550.0, 0.0364, 0.0, 10489.0, sorted
10.0, 770.0, 0.0567, 0.0, 16199.0, sorted
10.0, 990.0, 0.074901, 0.0, 21796.0, sorted
10.0, 1210.0, 0.0956, 0.0, 27851.0, sorted
10.0, 3630.0, 0.351899, 0.0, 101565.0, sorted
10.0, 6050.0, 0.6288, 0.0, 181326.0, sorted
10.0, 8066.0, 0.893801, 0.0, 257844.0, sorted
10.0, 10082.0, 1.155701, 0.0, 332348.0, sorted
